id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
18518029	20020731	0	900000000000207008	188361007	109357005	0	116680003	900000000000011006	900000000000451002
18519021	20020731	0	900000000000207008	188361007	94111002	0	116680003	900000000000011006	900000000000451002
18520026	20020131	1	900000000000207008	188361007	255058005	0	116680003	900000000000011006	900000000000451002
19832026	20040131	0	900000000000207008	106028002	250171008	0	116680003	900000000000011006	900000000000451002
19833020	20210731	0	900000000000207008	106028002	118234003	0	116680003	900000000000011006	900000000000451002
19862021	20210731	0	900000000000207008	106048009	118234003	0	116680003	900000000000011006	900000000000451002
19863027	20040131	0	900000000000207008	106048009	250171008	0	116680003	900000000000011006	900000000000451002
20228023	20020731	0	900000000000207008	106228007	362981000	0	116680003	900000000000011006	900000000000451002
20236025	20020731	0	900000000000207008	106232001	106228007	0	116680003	900000000000011006	900000000000451002
20239021	20020131	1	900000000000207008	106234000	106232001	0	116680003	900000000000011006	900000000000451002
20240023	20050131	0	900000000000207008	106234000	272099008	0	116680003	900000000000011006	900000000000451002
20244025	20040731	0	900000000000207008	106237007	246061005	0	116680003	900000000000011006	900000000000451002
26110023	20030731	0	900000000000207008	108369006	49755003	0	116680003	900000000000011006	900000000000451002
32496027	20210731	0	900000000000207008	109357005	363357005	0	116680003	900000000000011006	900000000000451002
32497020	20020731	0	900000000000207008	109357005	302817000	0	116680003	900000000000011006	900000000000451002
32498026	20020731	0	900000000000207008	109357005	38807002	0	116680003	900000000000011006	900000000000451002
39955022	20020131	1	900000000000207008	229761008	278264008	0	116680003	900000000000011006	900000000000451002
39956023	20020131	1	900000000000207008	229761008	67734004	0	116680003	900000000000011006	900000000000451002
47114026	20020731	0	900000000000207008	233814000	55342001	0	116680003	900000000000011006	900000000000451002
47115025	20020731	0	900000000000207008	233814000	50043002	0	116680003	900000000000011006	900000000000451002
61553028	20020131	1	900000000000207008	243928005	52530000	0	116680003	900000000000011006	900000000000451002
64856027	20040731	0	900000000000207008	246062003	246061005	0	116680003	900000000000011006	900000000000451002
64869028	20040731	0	900000000000207008	246075003	246062003	0	116680003	900000000000011006	900000000000451002
64886023	20040731	0	900000000000207008	246090004	263534001	0	116680003	900000000000011006	900000000000451002
64890020	20040731	0	900000000000207008	246093002	272734009	0	116680003	900000000000011006	900000000000451002
64907029	20040731	0	900000000000207008	246112005	260858005	0	116680003	900000000000011006	900000000000451002
64908023	20040731	0	900000000000207008	246112005	106237007	0	116680003	900000000000011006	900000000000451002
65156023	20050131	0	900000000000207008	246379000	260686004	0	116680003	900000000000011006	900000000000451002
65234025	20040731	0	900000000000207008	246454002	260863009	0	116680003	900000000000011006	900000000000451002
65236028	20040731	0	900000000000207008	246456000	260863009	0	116680003	900000000000011006	900000000000451002
65237021	20040731	0	900000000000207008	246456000	106237007	0	116680003	900000000000011006	900000000000451002
65277029	20040731	0	900000000000207008	246501002	246061005	0	116680003	900000000000011006	900000000000451002
65289027	20040731	0	900000000000207008	246513007	263490005	0	116680003	900000000000011006	900000000000451002
65292028	20040731	0	900000000000207008	246514001	246061005	0	116680003	900000000000011006	900000000000451002
69485025	20040131	0	900000000000207008	250171008	246188002	0	116680003	900000000000011006	900000000000451002
75436026	20020731	0	900000000000207008	255050003	55342001	0	116680003	900000000000011006	900000000000451002
75443021	20190731	0	900000000000207008	255054007	255050003	0	116680003	900000000000011006	900000000000451002
75444026	20020731	0	900000000000207008	255054007	123946008	0	116680003	900000000000011006	900000000000451002
75451024	20050131	0	900000000000207008	255058005	118946009	0	116680003	900000000000011006	900000000000451002
75452028	20020731	0	900000000000207008	255058005	255054007	0	116680003	900000000000011006	900000000000451002
75631028	20020131	1	900000000000207008	255203001	362981000	0	116680003	900000000000011006	900000000000451002
75665027	20170731	0	900000000000012004	255234002	47429007	0	116680003	900000000000011006	900000000000451002
75844020	20020131	1	900000000000207008	255395001	272099008	0	116680003	900000000000011006	900000000000451002
78674029	20020131	1	900000000000207008	113343008	91723000	0	116680003	900000000000011006	900000000000451002
78896022	20060731	0	900000000000207008	257728006	123037004	0	116680003	900000000000011006	900000000000451002
82261029	20040731	0	900000000000207008	260507000	260670006	0	116680003	900000000000011006	900000000000451002
82419021	20040731	0	900000000000207008	260670006	246061005	0	116680003	900000000000011006	900000000000451002
82431023	20040731	0	900000000000207008	260686004	246061005	0	116680003	900000000000011006	900000000000451002
82571026	20040731	0	900000000000207008	260858005	246061005	0	116680003	900000000000011006	900000000000451002
82574023	20040731	0	900000000000207008	260863009	246061005	0	116680003	900000000000011006	900000000000451002
82582023	20040731	0	900000000000207008	260870009	260863009	0	116680003	900000000000011006	900000000000451002
82583029	20040731	0	900000000000207008	260870009	106237007	0	116680003	900000000000011006	900000000000451002
82615023	20040731	0	900000000000207008	260908002	260863009	0	116680003	900000000000011006	900000000000451002
82616024	20040731	0	900000000000207008	260908002	106237007	0	116680003	900000000000011006	900000000000451002
82779026	20020131	1	900000000000207008	261060002	127947003	0	116680003	900000000000011006	900000000000451002
84088029	20020131	1	900000000000207008	262225004	362873000	0	116680003	900000000000011006	900000000000451002
84089021	20020131	1	900000000000207008	262225004	22943007	0	116680003	900000000000011006	900000000000451002
85942025	20040731	0	900000000000207008	263490005	246061005	0	116680003	900000000000011006	900000000000451002
85943024	20040731	0	900000000000207008	263491009	246061005	0	116680003	900000000000011006	900000000000451002
85984022	20040731	0	900000000000207008	263534001	246061005	0	116680003	900000000000011006	900000000000451002
90203023	20020731	0	900000000000207008	271586000	300847008	0	116680003	900000000000011006	900000000000451002
90649020	20050131	0	900000000000207008	272099008	255203001	0	116680003	900000000000011006	900000000000451002
91400027	20040731	0	900000000000207008	272734009	246061005	0	116680003	900000000000011006	900000000000451002
91409026	20040731	0	900000000000207008	272741003	106237007	0	116680003	900000000000011006	900000000000451002
93866020	20020131	1	900000000000207008	276438008	118222006	0	116680003	900000000000011006	900000000000451002
95790029	20020131	1	900000000000207008	277739008	272099008	0	116680003	900000000000011006	900000000000451002
96383029	20020131	1	900000000000207008	278195005	91689009	0	116680003	900000000000011006	900000000000451002
96386021	20020131	1	900000000000207008	278197002	278195005	0	116680003	900000000000011006	900000000000451002
96387028	20020131	1	900000000000207008	278197002	20139000	0	116680003	900000000000011006	900000000000451002
96486020	20020131	1	900000000000207008	278264008	22943007	0	116680003	900000000000011006	900000000000451002
96487027	20020131	1	900000000000207008	278264008	261060002	0	116680003	900000000000011006	900000000000451002
96703025	20020731	0	900000000000207008	278441008	128121009	0	116680003	900000000000011006	900000000000451002
99491022	20020731	0	900000000000207008	280542007	22943007	0	116680003	900000000000011006	900000000000451002
100939023	20020131	1	900000000000207008	281483004	280542007	0	116680003	900000000000011006	900000000000451002
101106026	20050131	0	900000000000207008	281586009	255203001	0	116680003	900000000000011006	900000000000451002
108874022	20040731	0	900000000000207008	116676008	106237007	0	116680003	900000000000011006	900000000000451002
108921029	20040731	0	900000000000207008	116680003	106237007	0	116680003	900000000000011006	900000000000451002
108979029	20040731	0	900000000000207008	116686009	106237007	0	116680003	900000000000011006	900000000000451002
109503027	20040731	0	900000000000207008	288529006	255203001	0	116680003	900000000000011006	900000000000451002
109536026	20040731	0	900000000000207008	288556008	47429007	0	116680003	900000000000011006	900000000000451002
122141021	20040731	0	900000000000207008	298363007	301857004	0	116680003	900000000000011006	900000000000451002
122142025	20040131	0	900000000000207008	298363007	106028002	0	116680003	900000000000011006	900000000000451002
122681026	20040731	0	900000000000207008	298705000	298363007	0	116680003	900000000000011006	900000000000451002
122682022	20130731	0	900000000000207008	298705000	302292003	0	116680003	900000000000011006	900000000000451002
125534027	20020731	0	900000000000207008	300847008	276438008	0	116680003	900000000000011006	900000000000451002
125535026	20020731	0	900000000000207008	300848003	271586000	0	116680003	900000000000011006	900000000000451002
125541022	20020131	1	900000000000207008	300851005	300848003	0	116680003	900000000000011006	900000000000451002
125555025	20020731	0	900000000000207008	300862005	118234003	0	116680003	900000000000011006	900000000000451002
125556029	20020731	0	900000000000207008	300862005	271586000	0	116680003	900000000000011006	900000000000451002
126097023	20020131	1	900000000000207008	301226008	106048009	0	116680003	900000000000011006	900000000000451002
126103027	20020131	1	900000000000207008	301230006	301226008	0	116680003	900000000000011006	900000000000451002
126105023	20020131	1	900000000000207008	301232003	301230006	0	116680003	900000000000011006	900000000000451002
126190023	20040731	0	900000000000207008	301296002	302292003	0	116680003	900000000000011006	900000000000451002
126399029	20040731	0	900000000000207008	118168003	106237007	0	116680003	900000000000011006	900000000000451002
126409021	20040731	0	900000000000207008	118169006	106237007	0	116680003	900000000000011006	900000000000451002
126423023	20040731	0	900000000000207008	118170007	106237007	0	116680003	900000000000011006	900000000000451002
126434021	20040731	0	900000000000207008	118171006	106237007	0	116680003	900000000000011006	900000000000451002
126946028	20210731	0	900000000000207008	301857004	118234003	0	116680003	900000000000011006	900000000000451002
126947021	20040131	0	900000000000207008	301857004	250171008	0	116680003	900000000000011006	900000000000451002
127082027	20210731	0	900000000000207008	118222006	250171008	0	116680003	900000000000011006	900000000000451002
127116020	20050131	0	900000000000207008	118225008	118222006	0	116680003	900000000000011006	900000000000451002
127248029	20040131	0	900000000000207008	118234003	246188002	0	116680003	900000000000011006	900000000000451002
127544026	20210731	0	900000000000207008	302292003	301857004	0	116680003	900000000000011006	900000000000451002
127969022	20020131	1	900000000000207008	302551006	51185008	0	116680003	900000000000011006	900000000000451002
128548026	20190731	0	900000000000207008	302817000	363346000	0	116680003	900000000000011006	900000000000451002
128920023	20020131	1	900000000000207008	303102005	281586009	0	116680003	900000000000011006	900000000000451002
133515021	20130731	0	900000000000207008	118946009	128121009	0	116680003	900000000000011006	900000000000451002
133639020	20020131	1	900000000000207008	118956008	123037004	0	116680003	900000000000011006	900000000000451002
133875024	20020131	1	900000000000207008	118969007	91690000	0	116680003	900000000000011006	900000000000451002
133876020	20020131	1	900000000000207008	118969007	20139000	0	116680003	900000000000011006	900000000000451002
135774026	20020131	1	900000000000207008	308489006	303102005	0	116680003	900000000000011006	900000000000451002
136882029	20020131	1	900000000000207008	309524007	300862005	0	116680003	900000000000011006	900000000000451002
136888025	20020131	1	900000000000207008	309529002	300851005	0	116680003	900000000000011006	900000000000451002
136889022	20050131	0	900000000000207008	309529002	301230006	0	116680003	900000000000011006	900000000000451002
137942029	20020131	1	900000000000207008	310787001	91689009	0	116680003	900000000000011006	900000000000451002
139726024	20020131	1	900000000000207008	312419003	91689009	0	116680003	900000000000011006	900000000000451002
144473025	20050731	0	900000000000207008	246061005	138875005	0	116680003	900000000000011006	900000000000451002
144474020	20040131	0	900000000000207008	246188002	138875005	0	116680003	900000000000011006	900000000000451002
144689020	20020131	1	900000000000207008	278195005	362889002	0	116680003	900000000000011006	900000000000451002
144940028	20020131	1	900000000000207008	302551006	362873000	0	116680003	900000000000011006	900000000000451002
145312020	20020131	1	900000000000207008	123037004	138875005	0	116680003	900000000000011006	900000000000451002
145983025	20020131	1	900000000000207008	362873000	362889002	0	116680003	900000000000011006	900000000000451002
146186027	20020131	1	900000000000207008	48176007	138875005	0	116680003	900000000000011006	900000000000451002
